NUMBER,STREET,UNIT,CITY,POSTCODE
1625,CLARK ST HNL,,HONOLULU,
84-626,MAKAHA VALLEY RD,,WAIANAE,
317,OLOMANA ST KAIL,C,KAILUA,
427,MALAMALAMA ST,,KAPOLEI,
301,LEHUA ST WAHI,A,WAHIAWA,
91-1278,KINOIKI ST,,KAPOLEI,
91-1347,KINOIKI ST,,KAPOLEI,
91-1307,KEKAHILI ST,,KAPOLEI,
815,LUAWAI ST HNL,,HONOLULU,
94-368,KAPUAHI ST,55,MILILANI,
91-1153,NORTH RD EWA BCH,,EWA BEACH,
91-1241,KAIOKIA ST,,EWA BEACH,
2235,WILSON ST HNL,,HONOLULU,
99-783,HALAWA DR,A,AIEA,
99-621,HALAWA DR,,AIEA,
91-1058,WAIKAPOO ST,,EWA BEACH,
92-755,WELO ST,,KAPOLEI,
92-717,KUHOHO PL,,KAPOLEI,
92-728,KUHOHO PL,,KAPOLEI,
46-13,ALALOA ST KANE,,KANEOHE,
91-1081,WAIEMI ST,,EWA BEACH,
3288,PAMAKANI PL HNL,,HONOLULU,
409,KAILUA RD,,KAILUA,
91-1084,WAIKAPOO ST,,EWA BEACH,
91-1250,KAIOKIA ST,,EWA BEACH,
91-2093,KAIWAWALO ST,,EWA BEACH,
91-1174,PEKAU ST,,EWA BEACH,
91-1174,PEKAU ST,,EWA BEACH,
91-1068,WAIKAPOO ST,,EWA BEACH,
91-1188,WAIKAPOO ST,,EWA BEACH,
91-1208,WAIKAPOO ST,,EWA BEACH,
91-1282,KAIOKIA ST,,EWA BEACH,
2343,ROSE ST HNL,,HONOLULU,
2339,ROSE ST HNL,,HONOLULU,
2331,ROSE ST HNL,,HONOLULU,
1358,KAM IV RD,,HONOLULU,
2319,ROSE ST HNL,,HONOLULU,
2423,ROSE ST HNL,D,HONOLULU,
2423,ROSE ST HNL,G,HONOLULU,
2423,ROSE ST HNL,H,HONOLULU,
2505,ROSE ST HNL,G,HONOLULU,
2505,ROSE ST HNL,H,HONOLULU,
2505,ROSE ST HNL,E,HONOLULU,
2505,ROSE ST HNL,F,HONOLULU,
2505,ROSE ST HNL,J,HONOLULU,
2511,ROSE ST HNL,D,HONOLULU,
2511,ROSE ST HNL,D-1,HONOLULU,
2511,ROSE ST HNL,D1,HONOLULU,
2511,ROSE ST HNL,,HONOLULU,
91-2109,KAIWAWALO ST,,EWA BEACH,
19,KIHAPAI ST,,KAILUA,
56-461,KAM HWY,,KAHUKU,
95-1511,AINAMAKUA DR,,MILILANI,
95-1525,AINAMAKUA DR,,MILILANI,
94-1057,HAPAPA ST WAIP,,WAIPIO,
92-744,KUHOHO PL,,KAPOLEI,
92-747,KUHOHO PL,,KAPOLEI,
92-700,KUHOHO ST,,KAPOLEI,
426,MALAMALAMA ST,,KAPOLEI,
46-186,ALALOA ST KANE,,KANEOHE,
46-222,KALALI ST KANE,,KANEOHE,
17,HOLUA WAY WAHI,,WAHIAWA,
91-709,PELELEU WAY,,EWA BEACH,
91-716,PELELEU WAY,,EWA BEACH,
91-1109,PELELEU ST,,EWA BEACH,
91-1105,PELELEU ST,,EWA BEACH,
1531,LINAPUNI ST,,HONOLULU / TRIPLER,
99-717,HALAWA DR,A,AIEA,
99-659,HALAWA DR,,AIEA,
