input_item_type,input_item_category,input_number_to_generate,output_item_name,output_item_rating,output_item_num_reviews
toys,Hobbies,10,Churchill Mk.VII British Infantry Tank - 1:35 Scale Military - Tamiya,5.0,15
toys,Hobbies,10,Ultra-pro, Black Pro binder 360 sleeve side loading, Mtg, Yugioh, WoW,4.9,13
toys,Hobbies,10,LEGO Galaxy Squad 70708: Hive Crawler,4.9,15
toys,Hobbies,10,Military Minatures German Hanomag Sd.kfz. 251/1 - 1:35 Scale Military - Tamiya,4.9,27
toys,Hobbies,10,Hornby 2014 Catalogue,4.9,15
toys,Hobbies,10,Branching Out City of London Wooden Train Set,4.9,14
toys,Hobbies,10,Orcrist 36" Prop Replica The Hobbit The Noble Collection,4.9,19
toys,Hobbies,10,Transformers Grimlock Track Set,4.9,14
toys,Hobbies,10,GoolRC T10 Mini Micro Drone 2.4G 4CH 6-Axis Gyro RC Quadcopter UFO with 3D Flips CF Mode Auto-return-Orange,4.9,27
toys,Hobbies,10,LEGO Ninjago 70504: Garmatron,4.9,40
toys,Hobbies,10,Motor Sport Rs-540,4.8,16
toys,Hobbies,10,Syma Upgraded Version X5SC-1 Explorers RC Quadcopter 4CH 6-Axis 2.4G Gyro Drone With 2MP HD Camera White,4.8,29
toys,Hobbies,10,Pokemon 1 x Primal Clash Booster Pack Brand New and Sealed,4.8,21
toys,Hobbies,10,Trading Card A4 Sleeves - 25 Ultra Pro 9 Pocket Platinum Pages MTG/Pokemon.,4.8,14
toys,Hobbies,10,Bigjigs Rail Crazy Track (Pack of 2),4.8,47
toys,Hobbies,10,VTech Switch & Go Dinos: Torr the Therizinosaurus,4.8,16
toys,Hobbies,10,German Sturmgeschuetz IV Tank - 1:35 Scale Military - Tamiya,4.8,13
toys,Hobbies,10,Hornby R3086 RailRoad LNER 4-6-2 'Flying Scotsman' Class A3 00 Gauge Steam Locomotive,4.8,17
toys,Hobbies,10,YUGIOH STRUCTURE DECK Dragons Collide,4.8,20
toys,Hobbies,10,Whist Scorecards, 1000 Pack,4.8,14
toys,Hobbies,10,Top Trumps James Bond Card Game,4.8,41
